STATION,STATION_NAME,DATE,QGAG,QPCP
COOP:425186,LOGAN UTAH ST U UT US,20130101 00:00,0.90,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130101 00:15,0.00,0.00
COOP:425186,LOGAN UTAH ST U UT US,20130101 10:30,0.91,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130111 02:15,0.92,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130112 01:45,0.93,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130124 10:00,0.94,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130124 20:15,0.95,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 10:30,0.96,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 11:30,0.97,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 13:30,0.98,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 14:30,0.99,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 15:30,1.00,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130127 22:15,1.01,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130129 09:00,1.02,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130130 03:00,1.03,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130130 08:15,1.04,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130131 23:45,1.04,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130201 00:00,1.04,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130201 00:15,0.00,0.00
COOP:425186,LOGAN UTAH ST U UT US,20130209 13:00,1.05,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130210 01:30,1.06,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130222 07:15,1.07,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130223 10:15,1.08,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130223 11:30,1.09,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130223 12:45,1.10,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130223 15:45,1.11,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130223 19:15,1.12,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130301 00:00,1.11,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130301 00:15,1.11,0.00
COOP:425186,LOGAN UTAH ST U UT US,20130301 08:45,1.12,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130303 11:45,1.13,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130303 20:15,1.14,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130306 22:00,1.15,0.10
COOP:425186,LOGAN UTAH ST U UT US,20130313 12:15,0.01,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130313 12:30,0.22,-9999
COOP:425186,LOGAN UTAH ST U UT US,20130320 00:15,-9999,999.99
COOP:425186,LOGAN UTAH ST U UT US,20130325 00:00,-9999,999.99
COOP:426414,OGDEN SUGAR FACTORY UT US,20130101 00:00,0.91,-9999
COOP:426414,OGDEN SUGAR FACTORY UT US,20130101 00:15,0.00,0.00
COOP:426414,OGDEN SUGAR FACTORY UT US,20130110 16:15,0.92,-9999
COOP:426414,OGDEN SUGAR FACTORY UT US,20130110 17:30,0.93,0.10
COOP:426414,OGDEN SUGAR FACTORY UT US,20130110 20:30,0.94,0.10
